lsoa,value,percent,rank,mode_code
E01014468,388,26.305,29581,1
E01014468,1,0.068,29581,2
E01014468,14,0.949,29581,3
E01014468,32,2.169,29581,4
E01014468,1,0.068,29581,5
E01014468,6,0.407,29581,6
E01014468,139,9.424,29581,7
E01014468,10,0.678,29581,8
E01014468,23,1.559,29581,9
E01014468,177,12,29581,10
E01014468,12,0.814,29581,11
E01014468,672,45.559,29581,12
E01014466,271,20.878,16412,1
E01014466,0,0,16412,2
E01014466,4,0.308,16412,3
E01014466,32,2.465,16412,4
E01014466,2,0.154,16412,5
E01014466,4,0.308,16412,6
E01014466,158,12.173,16412,7
E01014466,16,1.233,16412,8
E01014466,17,1.31,16412,9
E01014466,174,13.405,16412,10
E01014466,5,0.385,16412,11
E01014466,615,47.381,16412,12
E01014465,405,26.214,29295,1
E01014465,2,0.129,29295,2
E01014465,7,0.453,29295,3
E01014465,18,1.165,29295,4
E01014465,1,0.065,29295,5
E01014465,3,0.194,29295,6
E01014465,203,13.139,29295,7
E01014465,14,0.906,29295,8
E01014465,22,1.424,29295,9
E01014465,141,9.126,29295,10
E01014465,5,0.324,29295,11
E01014465,724,46.861,29295,12
E01014466,271,20.878,16412,1
E01014466,0,0,16412,2
E01014466,4,0.308,16412,3
E01014466,32,2.465,16412,4
E01014466,2,0.154,16412,5
E01014466,4,0.308,16412,6
E01014466,158,12.173,16412,7
E01014466,16,1.233,16412,8
E01014466,17,1.31,16412,9
E01014466,174,13.405,16412,10
E01014466,5,0.385,16412,11
E01014466,615,47.381,16412,12
E01014467,399,25.875,28411,1
E01014467,0,0,28411,2
E01014467,3,0.195,28411,3
E01014467,18,1.167,28411,4
E01014467,6,0.389,28411,5
E01014467,10,0.649,28411,6
E01014467,214,13.878,28411,7
E01014467,10,0.649,28411,8
E01014467,37,2.399,28411,9
E01014467,155,10.052,28411,10
E01014467,7,0.454,28411,11
E01014467,683,44.293,28411,12
E01014468,388,26.305,29581,1
E01014468,1,0.068,29581,2
E01014468,14,0.949,29581,3
E01014468,32,2.169,29581,4
E01014468,1,0.068,29581,5
E01014468,6,0.407,29581,6
E01014468,139,9.424,29581,7
E01014468,10,0.678,29581,8
E01014468,23,1.559,29581,9
E01014468,177,12,29581,10
E01014468,12,0.814,29581,11
E01014468,672,45.559,29581,12
E01014468,388,26.305,29581,1
E01014468,1,0.068,29581,2
E01014468,14,0.949,29581,3
E01014468,32,2.169,29581,4
E01014468,1,0.068,29581,5
E01014468,6,0.407,29581,6
E01014468,139,9.424,29581,7
E01014468,10,0.678,29581,8
E01014468,23,1.559,29581,9
E01014468,177,12,29581,10
E01014468,12,0.814,29581,11
E01014468,672,45.559,29581,12
E01014468,388,26.305,29581,1
E01014468,1,0.068,29581,2
E01014468,14,0.949,29581,3
E01014468,32,2.169,29581,4
E01014468,1,0.068,29581,5
E01014468,6,0.407,29581,6
E01014468,139,9.424,29581,7
E01014468,10,0.678,29581,8
E01014468,23,1.559,29581,9
E01014468,177,12,29581,10
E01014468,12,0.814,29581,11
E01014468,672,45.559,29581,12
E01014465,405,26.214,29295,1
E01014465,2,0.129,29295,2
E01014465,7,0.453,29295,3
E01014465,18,1.165,29295,4
E01014465,1,0.065,29295,5
E01014465,3,0.194,29295,6
E01014465,203,13.139,29295,7
E01014465,14,0.906,29295,8
E01014465,22,1.424,29295,9
E01014465,141,9.126,29295,10
E01014465,5,0.324,29295,11
E01014465,724,46.861,29295,12
E01014465,405,26.214,29295,1
E01014465,2,0.129,29295,2
E01014465,7,0.453,29295,3
E01014465,18,1.165,29295,4
E01014465,1,0.065,29295,5
E01014465,3,0.194,29295,6
E01014465,203,13.139,29295,7
E01014465,14,0.906,29295,8
E01014465,22,1.424,29295,9
E01014465,141,9.126,29295,10
E01014465,5,0.324,29295,11
E01014465,724,46.861,29295,12
E01014465,405,26.214,29295,1
E01014465,2,0.129,29295,2
E01014465,7,0.453,29295,3
E01014465,18,1.165,29295,4
E01014465,1,0.065,29295,5
E01014465,3,0.194,29295,6
E01014465,203,13.139,29295,7
E01014465,14,0.906,29295,8
E01014465,22,1.424,29295,9
E01014465,141,9.126,29295,10
E01014465,5,0.324,29295,11
E01014465,724,46.861,29295,12
E01014467,399,25.875,28411,1
E01014467,0,0,28411,2
E01014467,3,0.195,28411,3
E01014467,18,1.167,28411,4
E01014467,6,0.389,28411,5
E01014467,10,0.649,28411,6
E01014467,214,13.878,28411,7
E01014467,10,0.649,28411,8
E01014467,37,2.399,28411,9
E01014467,155,10.052,28411,10
E01014467,7,0.454,28411,11
E01014467,683,44.293,28411,12
E01014467,399,25.875,28411,1
E01014467,0,0,28411,2
E01014467,3,0.195,28411,3
E01014467,18,1.167,28411,4
E01014467,6,0.389,28411,5
E01014467,10,0.649,28411,6
E01014467,214,13.878,28411,7
E01014467,10,0.649,28411,8
E01014467,37,2.399,28411,9
E01014467,155,10.052,28411,10
E01014467,7,0.454,28411,11
E01014467,683,44.293,28411,12
E01014470,165,9.638,27412,1
E01014470,0,0,27412,2
E01014470,1,0.058,27412,3
E01014470,23,1.343,27412,4
E01014470,4,0.234,27412,5
E01014470,6,0.35,27412,6
E01014470,611,35.689,27412,7
E01014470,48,2.804,27412,8
E01014470,16,0.935,27412,9
E01014470,79,4.614,27412,10
E01014470,13,0.759,27412,11
E01014470,746,43.575,27412,12
E01014471,161,10.242,19636,1
E01014471,1,0.064,19636,2
E01014471,1,0.064,19636,3
E01014471,36,2.29,19636,4
E01014471,0,0,19636,5
E01014471,5,0.318,19636,6
E01014471,526,33.461,19636,7
E01014471,27,1.718,19636,8
E01014471,14,0.891,19636,9
E01014471,57,3.626,19636,10
E01014471,7,0.445,19636,11
E01014471,737,46.883,19636,12
E01014471,161,10.242,19636,1
E01014471,1,0.064,19636,2
E01014471,1,0.064,19636,3
E01014471,36,2.29,19636,4
E01014471,0,0,19636,5
E01014471,5,0.318,19636,6
E01014471,526,33.461,19636,7
E01014471,27,1.718,19636,8
E01014471,14,0.891,19636,9
E01014471,57,3.626,19636,10
E01014471,7,0.445,19636,11
E01014471,737,46.883,19636,12
E01014471,161,10.242,19636,1
E01014471,1,0.064,19636,2
E01014471,1,0.064,19636,3
E01014471,36,2.29,19636,4
E01014471,0,0,19636,5
E01014471,5,0.318,19636,6
E01014471,526,33.461,19636,7
E01014471,27,1.718,19636,8
E01014471,14,0.891,19636,9
E01014471,57,3.626,19636,10
E01014471,7,0.445,19636,11
E01014471,737,46.883,19636,12
E01014469,89,6.44,11976,1
E01014469,0,0,11976,2
E01014469,0,0,11976,3
E01014469,27,1.954,11976,4
E01014469,1,0.072,11976,5
E01014469,6,0.434,11976,6
E01014469,400,28.944,11976,7
E01014469,41,2.967,11976,8
E01014469,6,0.434,11976,9
E01014469,71,5.137,11976,10
E01014469,3,0.217,11976,11
E01014469,738,53.401,11976,12
E01014469,89,6.44,11976,1
E01014469,0,0,11976,2
E01014469,0,0,11976,3
E01014469,27,1.954,11976,4
E01014469,1,0.072,11976,5
E01014469,6,0.434,11976,6
E01014469,400,28.944,11976,7
E01014469,41,2.967,11976,8
E01014469,6,0.434,11976,9
E01014469,71,5.137,11976,10
E01014469,3,0.217,11976,11
E01014469,738,53.401,11976,12
E01014469,89,6.44,11976,1
E01014469,0,0,11976,2
E01014469,0,0,11976,3
E01014469,27,1.954,11976,4
E01014469,1,0.072,11976,5
E01014469,6,0.434,11976,6
E01014469,400,28.944,11976,7
E01014469,41,2.967,11976,8
E01014469,6,0.434,11976,9
E01014469,71,5.137,11976,10
E01014469,3,0.217,11976,11
E01014469,738,53.401,11976,12
E01014471,161,10.242,19636,1
E01014471,1,0.064,19636,2
E01014471,1,0.064,19636,3
E01014471,36,2.29,19636,4
E01014471,0,0,19636,5
E01014471,5,0.318,19636,6
E01014471,526,33.461,19636,7
E01014471,27,1.718,19636,8
E01014471,14,0.891,19636,9
E01014471,57,3.626,19636,10
E01014471,7,0.445,19636,11
E01014471,737,46.883,19636,12
E01014472,218,11.62,22355,1
E01014472,0,0,22355,2
E01014472,1,0.053,22355,3
E01014472,10,0.533,22355,4
E01014472,0,0,22355,5
E01014472,5,0.267,22355,6
E01014472,540,28.785,22355,7
E01014472,37,1.972,22355,8
E01014472,12,0.64,22355,9
E01014472,101,5.384,22355,10
E01014472,4,0.213,22355,11
E01014472,948,50.533,22355,12
E01014470,165,9.638,27412,1
E01014470,0,0,27412,2
E01014470,1,0.058,27412,3
E01014470,23,1.343,27412,4
E01014470,4,0.234,27412,5
E01014470,6,0.35,27412,6
E01014470,611,35.689,27412,7
E01014470,48,2.804,27412,8
E01014470,16,0.935,27412,9
E01014470,79,4.614,27412,10
E01014470,13,0.759,27412,11
E01014470,746,43.575,27412,12
E01014469,89,6.44,11976,1
E01014469,0,0,11976,2
E01014469,0,0,11976,3
E01014469,27,1.954,11976,4
E01014469,1,0.072,11976,5
E01014469,6,0.434,11976,6
E01014469,400,28.944,11976,7
E01014469,41,2.967,11976,8
E01014469,6,0.434,11976,9
E01014469,71,5.137,11976,10
E01014469,3,0.217,11976,11
E01014469,738,53.401,11976,12
E01014470,165,9.638,27412,1
E01014470,0,0,27412,2
E01014470,1,0.058,27412,3
E01014470,23,1.343,27412,4
E01014470,4,0.234,27412,5
E01014470,6,0.35,27412,6
E01014470,611,35.689,27412,7
E01014470,48,2.804,27412,8
E01014470,16,0.935,27412,9
E01014470,79,4.614,27412,10
E01014470,13,0.759,27412,11
E01014470,746,43.575,27412,12
E01014472,218,11.62,22355,1
E01014472,0,0,22355,2
E01014472,1,0.053,22355,3
E01014472,10,0.533,22355,4
E01014472,0,0,22355,5
E01014472,5,0.267,22355,6
E01014472,540,28.785,22355,7
E01014472,37,1.972,22355,8
E01014472,12,0.64,22355,9
E01014472,101,5.384,22355,10
E01014472,4,0.213,22355,11
E01014472,948,50.533,22355,12
E01014472,218,11.62,22355,1
E01014472,0,0,22355,2
E01014472,1,0.053,22355,3
E01014472,10,0.533,22355,4
E01014472,0,0,22355,5
E01014472,5,0.267,22355,6
E01014472,540,28.785,22355,7
E01014472,37,1.972,22355,8
E01014472,12,0.64,22355,9
E01014472,101,5.384,22355,10
E01014472,4,0.213,22355,11
E01014472,948,50.533,22355,12
E01014471,161,10.242,19636,1
E01014471,1,0.064,19636,2
E01014471,1,0.064,19636,3
E01014471,36,2.29,19636,4
E01014471,0,0,19636,5
E01014471,5,0.318,19636,6
E01014471,526,33.461,19636,7
E01014471,27,1.718,19636,8
E01014471,14,0.891,19636,9
E01014471,57,3.626,19636,10
E01014471,7,0.445,19636,11
E01014471,737,46.883,19636,12
E01014474,195,15.152,17849,1
E01014474,0,0,17849,2
E01014474,3,0.233,17849,3
E01014474,36,2.797,17849,4
E01014474,3,0.233,17849,5
E01014474,2,0.155,17849,6
E01014474,171,13.287,17849,7
E01014474,26,2.02,17849,8
E01014474,17,1.321,17849,9
E01014474,121,9.402,17849,10
E01014474,7,0.544,17849,11
E01014474,706,54.856,17849,12
E01014474,195,15.152,17849,1
E01014474,0,0,17849,2
E01014474,3,0.233,17849,3
E01014474,36,2.797,17849,4
E01014474,3,0.233,17849,5
E01014474,2,0.155,17849,6
E01014474,171,13.287,17849,7
E01014474,26,2.02,17849,8
E01014474,17,1.321,17849,9
E01014474,121,9.402,17849,10
E01014474,7,0.544,17849,11
E01014474,706,54.856,17849,12
E01014474,195,15.152,17849,1
E01014474,0,0,17849,2
E01014474,3,0.233,17849,3
E01014474,36,2.797,17849,4
E01014474,3,0.233,17849,5
E01014474,2,0.155,17849,6
E01014474,171,13.287,17849,7
E01014474,26,2.02,17849,8
E01014474,17,1.321,17849,9
E01014474,121,9.402,17849,10
E01014474,7,0.544,17849,11
E01014474,706,54.856,17849,12
E01014473,285,15.957,29622,1
E01014473,0,0,29622,2
E01014473,10,0.56,29622,3
E01014473,17,0.952,29622,4
E01014473,4,0.224,29622,5
E01014473,6,0.336,29622,6
E01014473,163,9.127,29622,7
E01014473,17,0.952,29622,8
E01014473,26,1.456,29622,9
E01014473,118,6.607,29622,10
E01014473,7,0.392,29622,11
E01014473,1133,63.438,29622,12
E01014474,195,15.152,17849,1
E01014474,0,0,17849,2
E01014474,3,0.233,17849,3
E01014474,36,2.797,17849,4
E01014474,3,0.233,17849,5
E01014474,2,0.155,17849,6
E01014474,171,13.287,17849,7
E01014474,26,2.02,17849,8
E01014474,17,1.321,17849,9
E01014474,121,9.402,17849,10
E01014474,7,0.544,17849,11
E01014474,706,54.856,17849,12
E01014473,285,15.957,29622,1
E01014473,0,0,29622,2
E01014473,10,0.56,29622,3
E01014473,17,0.952,29622,4
E01014473,4,0.224,29622,5
E01014473,6,0.336,29622,6
E01014473,163,9.127,29622,7
E01014473,17,0.952,29622,8
E01014473,26,1.456,29622,9
E01014473,118,6.607,29622,10
E01014473,7,0.392,29622,11
E01014473,1133,63.438,29622,12
E01014473,285,15.957,29622,1
E01014473,0,0,29622,2
E01014473,10,0.56,29622,3
E01014473,17,0.952,29622,4
E01014473,4,0.224,29622,5
E01014473,6,0.336,29622,6
E01014473,163,9.127,29622,7
E01014473,17,0.952,29622,8
E01014473,26,1.456,29622,9
E01014473,118,6.607,29622,10
E01014473,7,0.392,29622,11
E01014473,1133,63.438,29622,12
E01014473,285,15.957,29622,1
E01014473,0,0,29622,2
E01014473,10,0.56,29622,3
E01014473,17,0.952,29622,4
E01014473,4,0.224,29622,5
E01014473,6,0.336,29622,6
E01014473,163,9.127,29622,7
E01014473,17,0.952,29622,8
E01014473,26,1.456,29622,9
E01014473,118,6.607,29622,10
E01014473,7,0.392,29622,11
E01014473,1133,63.438,29622,12
E01014473,285,15.957,29622,1
E01014473,0,0,29622,2
E01014473,10,0.56,29622,3
E01014473,17,0.952,29622,4
E01014473,4,0.224,29622,5
E01014473,6,0.336,29622,6
E01014473,163,9.127,29622,7
E01014473,17,0.952,29622,8
E01014473,26,1.456,29622,9
E01014473,118,6.607,29622,10
E01014473,7,0.392,29622,11
E01014473,1133,63.438,29622,12
E01014476,285,18.591,31182,1
E01014476,0,0,31182,2
E01014476,12,0.783,31182,3
E01014476,27,1.761,31182,4
E01014476,2,0.13,31182,5
E01014476,2,0.13,31182,6
E01014476,175,11.416,31182,7
E01014476,11,0.718,31182,8
E01014476,13,0.848,31182,9
E01014476,114,7.436,31182,10
E01014476,5,0.326,31182,11
E01014476,887,57.86,31182,12
E01014476,285,18.591,31182,1
E01014476,0,0,31182,2
E01014476,12,0.783,31182,3
E01014476,27,1.761,31182,4
E01014476,2,0.13,31182,5
E01014476,2,0.13,31182,6
E01014476,175,11.416,31182,7
E01014476,11,0.718,31182,8
E01014476,13,0.848,31182,9
E01014476,114,7.436,31182,10
E01014476,5,0.326,31182,11
E01014476,887,57.86,31182,12
E01014476,285,18.591,31182,1
E01014476,0,0,31182,2
E01014476,12,0.783,31182,3
E01014476,27,1.761,31182,4
E01014476,2,0.13,31182,5
E01014476,2,0.13,31182,6
E01014476,175,11.416,31182,7
E01014476,11,0.718,31182,8
E01014476,13,0.848,31182,9
E01014476,114,7.436,31182,10
E01014476,5,0.326,31182,11
E01014476,887,57.86,31182,12
E01014476,285,18.591,31182,1
E01014476,0,0,31182,2
E01014476,12,0.783,31182,3
E01014476,27,1.761,31182,4
E01014476,2,0.13,31182,5
E01014476,2,0.13,31182,6
E01014476,175,11.416,31182,7
E01014476,11,0.718,31182,8
E01014476,13,0.848,31182,9
E01014476,114,7.436,31182,10
E01014476,5,0.326,31182,11
E01014476,887,57.86,31182,12
E01014477,337,22.832,32001,1
E01014477,0,0,32001,2
E01014477,5,0.339,32001,3
E01014477,12,0.813,32001,4
E01014477,2,0.136,32001,5
E01014477,2,0.136,32001,6
E01014477,228,15.447,32001,7
E01014477,11,0.745,32001,8
E01014477,13,0.881,32001,9
E01014477,65,4.404,32001,10
E01014477,2,0.136,32001,11
E01014477,799,54.133,32001,12
E01014480,208,14.227,19081,1
E01014480,0,0,19081,2
E01014480,0,0,19081,3
E01014480,32,2.189,19081,4
E01014480,3,0.205,19081,5
E01014480,4,0.274,19081,6
E01014480,192,13.133,19081,7
E01014480,9,0.616,19081,8
E01014480,24,1.642,19081,9
E01014480,231,15.8,19081,10
E01014480,9,0.616,19081,11
E01014480,750,51.3,19081,12
E01014478,164,13.747,12295,1
E01014478,0,0,12295,2
E01014478,3,0.251,12295,3
E01014478,38,3.185,12295,4
E01014478,0,0,12295,5
E01014478,4,0.335,12295,6
E01014478,182,15.256,12295,7
E01014478,13,1.09,12295,8
E01014478,19,1.593,12295,9
E01014478,103,8.634,12295,10
E01014478,4,0.335,12295,11
E01014478,663,55.574,12295,12
E01014478,164,13.747,12295,1
E01014478,0,0,12295,2
E01014478,3,0.251,12295,3
E01014478,38,3.185,12295,4
E01014478,0,0,12295,5
E01014478,4,0.335,12295,6
E01014478,182,15.256,12295,7
E01014478,13,1.09,12295,8
E01014478,19,1.593,12295,9
E01014478,103,8.634,12295,10
E01014478,4,0.335,12295,11
E01014478,663,55.574,12295,12
E01014480,208,14.227,19081,1
E01014480,0,0,19081,2
E01014480,0,0,19081,3
E01014480,32,2.189,19081,4
E01014480,3,0.205,19081,5
E01014480,4,0.274,19081,6
E01014480,192,13.133,19081,7
E01014480,9,0.616,19081,8
E01014480,24,1.642,19081,9
E01014480,231,15.8,19081,10
E01014480,9,0.616,19081,11
E01014480,750,51.3,19081,12
E01014480,208,14.227,19081,1
E01014480,0,0,19081,2
E01014480,0,0,19081,3
E01014480,32,2.189,19081,4
E01014480,3,0.205,19081,5
E01014480,4,0.274,19081,6
E01014480,192,13.133,19081,7
E01014480,9,0.616,19081,8
E01014480,24,1.642,19081,9
E01014480,231,15.8,19081,10
E01014480,9,0.616,19081,11
E01014480,750,51.3,19081,12
E01014480,208,14.227,19081,1
E01014480,0,0,19081,2
E01014480,0,0,19081,3
E01014480,32,2.189,19081,4
E01014480,3,0.205,19081,5
E01014480,4,0.274,19081,6
E01014480,192,13.133,19081,7
E01014480,9,0.616,19081,8
E01014480,24,1.642,19081,9
E01014480,231,15.8,19081,10
E01014480,9,0.616,19081,11
E01014480,750,51.3,19081,12
E01014479,319,22.512,31271,1
E01014479,1,0.071,31271,2
E01014479,5,0.353,31271,3
E01014479,21,1.482,31271,4
E01014479,0,0,31271,5
E01014479,2,0.141,31271,6
E01014479,155,10.939,31271,7
E01014479,10,0.706,31271,8
E01014479,21,1.482,31271,9
E01014479,132,9.315,31271,10
E01014479,8,0.565,31271,11
E01014479,743,52.435,31271,12
E01014479,319,22.512,31271,1
E01014479,1,0.071,31271,2
E01014479,5,0.353,31271,3
E01014479,21,1.482,31271,4
E01014479,0,0,31271,5
E01014479,2,0.141,31271,6
E01014479,155,10.939,31271,7
E01014479,10,0.706,31271,8
E01014479,21,1.482,31271,9
E01014479,132,9.315,31271,10
E01014479,8,0.565,31271,11
E01014479,743,52.435,31271,12
E01014479,319,22.512,31271,1
E01014479,1,0.071,31271,2
E01014479,5,0.353,31271,3
E01014479,21,1.482,31271,4
E01014479,0,0,31271,5
E01014479,2,0.141,31271,6
E01014479,155,10.939,31271,7
E01014479,10,0.706,31271,8
E01014479,21,1.482,31271,9
E01014479,132,9.315,31271,10
E01014479,8,0.565,31271,11
E01014479,743,52.435,31271,12
E01014480,208,14.227,19081,1
E01014480,0,0,19081,2
E01014480,0,0,19081,3
E01014480,32,2.189,19081,4
E01014480,3,0.205,19081,5
E01014480,4,0.274,19081,6
E01014480,192,13.133,19081,7
E01014480,9,0.616,19081,8
E01014480,24,1.642,19081,9
E01014480,231,15.8,19081,10
E01014480,9,0.616,19081,11
E01014480,750,51.3,19081,12
E01014479,319,22.512,31271,1
E01014479,1,0.071,31271,2
E01014479,5,0.353,31271,3
E01014479,21,1.482,31271,4
E01014479,0,0,31271,5
E01014479,2,0.141,31271,6
E01014479,155,10.939,31271,7
E01014479,10,0.706,31271,8
E01014479,21,1.482,31271,9
E01014479,132,9.315,31271,10
E01014479,8,0.565,31271,11
E01014479,743,52.435,31271,12
E01014479,319,22.512,31271,1
